idnew	idold	status	use	NLRs	majorclass	majorsubclass	pairs	putpairs	IDs	paralogs_ogold
10.6	10	orthogroup	1	15	TNL	TNL	0	0	0	complex
172.1	172	orthogroup	1	34	TNL	TN	0	0	0	none
118.1	118	orthogroup	1	50	TNL	T	0	0	0	none
120.5	120	orthogroup	1	4	TNL	TN	0	0	0	both
11.14	11	orthogroup	1	4	TNL	T	0	0	0	both
143.1	143	orthogroup	1	45	TNL	TNL	0	0	7	none
122.2	122	orthogroup	1	20	TNL	TN	0	0	0	complex
115.1	115	orthogroup	1	54	CNL	CN	0	1	0	none
353	353	orthogroup	0	3	NL	N	0	0	0	none
8.6	8	orthogroup	1	16	CNL	CNL	0	0	0	complex
120.4	120	orthogroup	1	12	TNL	TNL	0	0	0	both
111.1	111	orthogroup	1	53	TNL	TN	0	0	0	none
179.1	179	orthogroup	1	4	TNL	TNL	0	0	0	complex
160.1	160	orthogroup	1	39	TNL	TNL	0	0	0	both
161.1	161	orthogroup	1	38	TNL	TNL	0	0	0	none
8.4	8	orthogroup	1	41	CNL	CNL	0	1	0	complex
162	162	orthogroup	0	40	TNL	TNL	15	4	0	complex
134.13	134	orthogroup	1	5	CNL	CNL	0	0	0	both
245.1	245	orthogroup	1	13	TNL	TN	0	1	1	none
129.1	129	orthogroup	1	52	RNL	R	0	0	0	none
119.1	119	orthogroup	1	50	TNL	T	0	0	0	simple
180.5	180	orthogroup	1	4	TNL	TNLX	0	0	2	both
10.3	10	orthogroup	1	6	TNL	TNL	0	0	0	complex
4.19	4	orthogroup	1	7	TNL	TNL	0	0	0	both
158.1	158	orthogroup	1	42	TNL	T	0	0	0	none
62.1	62	orthogroup	1	59	TNL	T	0	0	0	none
104.2	104	orthogroup	1	33	NL	N	0	0	0	complex
7.8	7	orthogroup	1	13	CNL	CNL	0	0	0	complex
47.1	47	orthogroup	1	61	TNL	TN	0	51	0	none
133.3	133	orthogroup	1	4	TNL	TNL	0	0	1	complex
159.1	159	orthogroup	1	40	TNL	TNL	0	0	0	none
266.1	266	orthogroup	1	9	TNL	T	0	0	0	none
23.3	23	orthogroup	1	11	TNL	TNL	0	0	0	both
87.1	87	orthogroup	1	58	TNL	T	0	0	0	none
165.3	165	orthogroup	1	11	TNL	TNL	0	0	0	complex
4.29	4	orthogroup	1	12	TNL	TNL	0	0	0	both
